Section;Position;X;Y;Z
1;Lout;160;0;0
1;Rout;160;228;0
1;Lin;160;64;65
1;Rin;160;168;50
1;Mid;NA;NA;NA
2;Lout;400;0;0
2;Rout;400;204;0
2;Lin;400;24;45
2;Rin;400;166;60
2;Mid;400;108;50
3;Lout;640;0;0
3;Rout;640;126;0
3;Lin;640;60;80
3;Rin;640;120;75
3;Mid;NA;NA;NA
4;Lout;916;0;0
4;Rout;916;132;0
4;Lin;916;28;85
4;Rin;916;110;60
4;Mid;NA;NA;NA
5;Lout;1156;0;0
5;Rout;1156;120;0
5;Lin;1156;30;57
5;Rin;1156;114;35
5;Mid;NA;NA;NA
6;Lout;1396;0;0
6;Rout;1396;123;0
6;Lin;1396;24;55
6;Rin;1396;93;78
6;Mid;NA;NA;NA
7;Lout;1636;0;0
7;Rout;1636;249;0
7;Lin;1636;24;55
7;Rin;1636;192;65
7;Mid;NA;NA;NA
8;Lout;1876;0;0
8;Rout;1876;178;0
8;Lin;1876;0;70
8;Rin;1876;135;120
8;Mid;1876;91;98
9;Lout;2116;0;0
9;Rout;2116;180;0
9;Lin;2116;81;130
9;Rin;2116;180;95
9;Mid;NA;NA;NA
10;Lout;2356;0;0
10;Rout;2356;146;0
10;Lin;2356;54;105
10;Rin;2356;126;75
10;Mid;2356;62;105
11;Lout;2596;0;0
11;Rout;2596;58;0
11;Lin;2596;12;130
11;Rin;2596;40;105
11;Mid;NA;NA;NA
12;Lout;2836;0;0
12;Rout;2836;182;0
12;Lin;2836;72;78
12;Rin;2836;109;59
12;Mid;NA;NA;NA
13;Lout;3436;0;0
13;Rout;3436;93;0
13;Lin;3436;52;102
13;Rin;3436;86;80
13;Mid;NA;NA;NA
14;Lout;4036;0;0
14;Rout;4036;114;0
14;Lin;4036;36;83
14;Rin;4036;72;77
14;Mid;NA;NA;NA
15;Lout;4636;0;0
15;Rout;4636;114;0
15;Lin;4636;72;65
15;Rin;4636;106;50
15;Mid;NA;NA;NA
16;Lout;5236;0;0
16;Rout;5236;142;0
16;Lin;5236;36;80
16;Rin;5236;108;59
16;Mid;NA;NA;NA
17;Lout;5836;0;0
17;Rout;5836;180;0
17;Lin;5836;96;56
17;Rin;5836;168;85
17;Mid;NA;NA;NA
18;Lout;6436;0;0
18;Rout;6436;276;0
18;Lin;6436;60;110
18;Rin;6436;220;100
18;Mid;6436;137;85
19;Lout;7036;0;0
19;Rout;7036;117;0
19;Lin;7036;18;85
19;Rin;7036;60;57
19;Mid;NA;NA;NA
20;Lout;7396;0;0
20;Rout;7396;312;0
20;Lin;7396;48;155
20;Rin;7396;312;120
20;Mid;7396;208;80